# Generated by tools/gen-rares.py. Do not edit by hand — rerun the tool.
# Identity and market id from EDCD/FDevIDs rare_commodity.csv, the same file
# gen-materials.py reads for the rare-cargo ledger. Each market id is resolved
# to its system and station through EDSM's stations/market API at generation
# time, so answering where a rare is sold costs no network at runtime. No
# allocation column: the per-visit quantity is set live by the station's
# economic state and is read from the market index at answer time. Game data
# is Frontier's, used under their media usage rules — see NOTICE.
# Rows: 142. Built: 2026-09-10.
symbol	name	system	station	market_id
uszaiantreegrub	Uszaian Tree Grub	Uszaa	Guest Installation	128164856
utgaroarmillenialeggs	Utgaroar Millennial Eggs	Utgaroar	Fort Klarix	128037120
uzumokulowgwings	Uzumoku Low-G Wings	Uzumoku	Sverdrup Ring	3226474496
vanayequirhinofur	Vanayequi Ceratomorpha Fur	Vanayequi	Clauss Hub	3227289856
vegaslimweed	Vega Slimweed	Vega	Taylor City	128149240
vherculisbodyrub	V Herculis Body Rub	V1090 Herculis	Kaku Plant	3228959232
vidavantianlace	Vidavantian Lace	Vidavanta	Lee Mines	3231082240
volkhabbeedrones	Volkhab Bee Drones	Volkhab	Vernadsky Dock	3227831808
watersofshintara	The Waters of Shintara	Shinrarta Dezhra	Jameson Memorial	128666762
wheemetewheatcakes	Wheemete Wheat Cakes	Wheemete	Eisinga Enterprise	3225032704
witchhaulkobebeef	Witchhaul Kobe Beef	Witchhaul	Hornby Terminal	3223358720
wolf1301fesh	Wolf Fesh	Wolf 1301	Saunders's Dive	128084984
wulpahyperboresystems	Wulpa Hyperbore Systems	Wulpa	Williams Gateway	3221388032
wuthielokufroth	Wuthielo Ku Froth	Wuthielo Ku	Tarter Dock	3222155776
xihecompanions	Xihe Biomorphic Companions	Xihe	Zhen Dock	3224133120
yasokondileaf	Yaso Kondi Leaf	Yaso Kondi	Wheeler Market	3223088640
zeesszeantglue	Zeessze Ant Grub Glue	Zeessze	Nicollier Hangar	128125432
