# Generated by tools/gen-exobiology.py. Do not edit by hand — rerun the tool.
# Source: spansh.co.uk api/bodies/search, 2026-09-13. Species and
# values from surveyed landmarks whose value is above zero; up to 500 surveyed bodies sampled per
# species for the condition ranges. Game data is Frontier's, used under their media usage rules;
# see NOTICE. Categorical columns keep a value seen on at least 2% of the sampled bodies; numeric
# ranges are the 1st-99th percentile. Atmosphere, planet type and volcanism are normalised — see
# normalise_planet_type, normalise_atmosphere and normalise_volcanism in this file, mirrored in
# ExobiologyCatalogue's private NormalisePlanetType, NormaliseAtmosphere and NormaliseVolcanism,
# which apply the same fold to a live journal Scan.
species	genus	value	bodies_sampled	planet_types	atmospheres	volcanism	gravity_low	gravity_high	temperature_low	temperature_high	pressure_low	pressure_high	regions
Bacterium Aurasus	Bacterium	1000000	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0463	0.5412	151.7	317.9	0.003741	0.094224	Aquila's Halo;Arcadian Stream;Elysian Shore;Empyrean Straits;Formorian Frontier;Galactic Centre;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Orion-Perseus Conflux;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Void;Trojan Belt
Bacterium Bullaris	Bacterium	1152500	500	icybody;rockybody	methane	none	0.0274	0.3135	72.2	107.0	0.001394	0.097174	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Bacterium Cerbrus	Bacterium	1689800	500	highmetalcontentbody;rockybody	sulfurdioxide;water	none	0.0456	0.5568	134.0	440.1	0.001011	0.092448	Aquila's Halo;Arcadian Stream;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Lyra's Song;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Conduit;The Formidine Rift;The Veils;The Void;Vulcan Gate
Bacterium Informem	Bacterium	8418000	500	highmetalcontentbody;icybody;rockybody;rockyicebody	nitrogen	none	0.1965	0.5175	47.0	141.6	0.001103	0.090887	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Bacterium Nebulus	Bacterium	5289900	500	icybody	helium	majorwatermagma;none;watermagma	0.4165	0.5085	20.1	20.4	0.067588	0.098117	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;Trojan Belt;Vulcan Gate
Bacterium Omentum	Bacterium	4638900	500	icybody	argon;methane;neon;neonrich	minorammoniamagma;minornitrogenmagma	0.0299	0.5513	20.0	104.0	0.001107	0.089629	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Bacterium Scopulum	Bacterium	4934500	500	icybody	argon;methane;neon;neonrich	carbondioxidegeysers;minorcarbondioxidegeysers;minormethanemagma	0.0288	0.5915	20.0	107.4	0.001445	0.097150	Acheron;Achilles's Altar;Arcadian Stream;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Inner Orion Spur;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Vulcan Gate;Xibalba
Bacterium Tela	Bacterium	1949000	500	highmetalcontentbody;icybody;rockybody	argon;carbondioxide;methane;neon;neonrich;sulfurdioxide;water	majorsilicatevapourgeysers;majorwatermagma;metallicmagma;minormethanemagma;minornitrogenmagma;none	0.0338	0.5792	20.0	483.1	0.001128	0.097300	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Vulcan Gate;Xibalba
Bacterium Verrata	Bacterium	3897000	500	icybody;rockyicebody	argon;neon;neonrich	majorwatergeysers;majorwatermagma;minorwatermagma;watermagma	0.0486	0.6026	20.1	205.7	0.001129	0.092978	Acheron;Achilles's Altar;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate
Bacterium Vesicula	Bacterium	1000000	500	icybody;rockyicebody	argon	none	0.0459	0.3522	50.4	177.9	0.001003	0.060574	Acheron;Aquila's Halo;Arcadian Stream;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Temple;Tenebrae;The Conduit;The Formidine Rift;The Veils;The Void;Vulcan Gate;Xibalba
Bacterium Volu	Bacterium	7774700	500	highmetalcontentbody;icybody;rockybody;rockyicebody	oxygen	none	0.2495	0.4862	148.3	240.8	0.016323	0.096473	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Bark Mounds	Bark Mounds	1471900	500	highmetalcontentbody;rockybody	carbondioxide;none	majorrockymagma;majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers;none	0.0440	1.3464	201.7	436.8	0.000000	0.006759	Arcadian Stream;Dryman's Point;Elysian Shore;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Sanguineous Rim;Temple;The Veils;Trojan Belt;Vulcan Gate
Blatteum Bioluminescent Anemone	Anemone	1499900	500	highmetalcontentbody;metalrichbody	none	majormetallicmagma;majorrockymagma;majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorrockymagma;minorsilicatevapourgeysers;rockymagma;silicatevapourgeysers	0.0701	3.9180	445.3	2135.4	0.000000	0.000000	Elysian Shore;Errant Marches;Inner Orion Spur;Inner Orion-Perseus Conflux;Izanami;Newton's Vault;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Sanguineous Rim;Temple;The Conduit;The Void;Vulcan Gate
Blatteum Sinuous Tubers	Tubers	1514500	275	highmetalcontentbody;rockybody	none	majorrockymagma;majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorsilicatevapourgeysers;rockymagma	0.0465	2.1541	204.4	498.0	0.000000	0.005335	Arcadian Stream;Hawking's Gap;Inner Orion Spur;Inner Scutum-Centaurus Arm;Izanami;Norma Expanse;Odin's Hold;Ryker's Hope
Cactoida Cortexum	Cactoida	3667600	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0481	0.2577	180.1	195.1	0.027196	0.098127	Achilles's Altar;Elysian Shore;Galactic Centre;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Odin's Hold;Orion-Cygnus Arm;Outer Orion Spur;Sanguineous Rim;Temple
Cactoida Lapis	Cactoida	2483600	500	highmetalcontentbody;rockybody	ammonia	none	0.0466	0.2726	160.2	174.8	0.001004	0.007858	Acheron;Dryman's Point;Elysian Shore;Galactic Centre;Hawking's Gap;Inner Orion Spur;Inner Scutum-Centaurus Arm;Lyra's Song;Mare Somnia;Odin's Hold;Orion-Cygnus Arm;Outer Orion Spur;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;The Veils
Cactoida Peperatis	Cactoida	2483600	500	highmetalcontentbody;rockybody	ammonia	none	0.0494	0.2690	160.3	174.7	0.001001	0.007645	Aquila's Halo;Arcadian Stream;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Norma Expanse;Odin's Hold;Outer Scutum-Centaurus Arm;The Abyss;The Conduit;The Veils;The Void;Trojan Belt
Cactoida Pullulanta	Cactoida	3667600	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0567	0.2647	180.1	194.7	0.029178	0.097466	Achilles's Altar;Elysian Shore;Errant Marches;Galactic Centre;Izanami;Kepler's Crest;Lyra's Song;Outer Arm;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sanguineous Rim;Tenebrae;The Formidine Rift;Vulcan Gate
Cactoida Vermis	Cactoida	16202800	500	highmetalcontentbody;rockybody	water	none	0.0442	0.1664	184.5	448.1	0.056662	0.098302	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Caeruleum Sinuous Tubers	Tubers	1514500	500	highmetalcontentbody;rockybody	none	majorsilicatevapourgeysers	0.0442	1.0390	202.4	490.2	0.000000	0.000000	Empyrean Straits;Galactic Centre;Inner Scutum-Centaurus Arm;Norma Arm;Ryker's Hope;Trojan Belt
Clypeus Lacrimam	Clypeus	8418000	500	rockybody	carbondioxide;water	none	0.0442	0.2313	190.2	445.3	0.060341	0.098302	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Clypeus Margaritus	Clypeus	11873200	500	highmetalcontentbody	carbondioxide;water	none	0.0494	0.2662	190.1	448.1	0.056911	0.098038	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Clypeus Speculumi	Clypeus	16202800	500	rockybody	carbondioxide;water	none	0.0426	0.2349	190.1	443.1	0.056965	0.098407	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Concha Aureolas	Concha	7774700	500	rockybody	ammonia	none	0.0428	0.2610	152.7	176.0	0.000991	0.011231	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Concha Biconcavis	Concha	19010800	500	highmetalcontentbody;rockybody	nitrogen	none	0.1190	0.2720	43.4	50.2	0.001008	0.004552	Acheron;Achilles's Altar;Arcadian Stream;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;The Abyss;The Conduit;The Formidine Rift;The Veils;Trojan Belt;Vulcan Gate
Concha Labiata	Concha	2352400	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0433	0.1910	150.3	188.8	0.003584	0.080609	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Concha Renibus	Concha	4572400	500	highmetalcontentbody;rockybody	carbondioxide;water	none	0.0442	0.2523	180.0	446.8	0.028477	0.098007	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
