# Generated by tools/gen-blueprints.py. Do not edit by hand — rerun the tool.
# Recipes, grades, engineers and effects from msarilar/EDEngineer blueprints.json (MIT),
# cross-checked against EDCD/coriolis-data on CoriolisGuid. Coriolis is not the authority:
# eleven experimentals have a different recipe per module type and it models one each, so
# disagreements are printed by the generator rather than resolved here.
# Ingredients are keyed to Materials.tsv symbols and are PER APPLICATION for kind=
# modification — multiply by EngineeringRules.RollsFor for a total. No other kind is
# per application. On-foot quantities (kind=suit, weapon, merchant) are NOT EDEngineer's:
# its figures are pre-patch and are restated here to what the game charges, measured over
# 16 upgrade events and four locker deltas — see docs/spikes/journal-corpus-on-foot.md §3.
# Game data is Frontier's, used under their media usage rules; see NOTICE.
# Rows: 1172 (bartender 4, experimental 154, merchant 56, modification 786, suit 14, synthesis 65, tech-broker 51, unlock 22, weapon 20). Built: 2026-09-01.
kind	module	name	grade	engineers	ingredients	effects	guid	symbol	mtypes
experimental	Beam Laser	Flow Control		Mel Brandon,The Dweller,Broo Tarquin	mechanicalscrap*5,hybridcapacitors*3,embeddedfirmware*1	Power Draw|-10%|good	441e1d85-5174-4172-85ea-caee8d3c632d	special_shieldbooster_efficient,special_weapon_efficient	hel
experimental	Beam Laser	Oversized		Mel Brandon,The Dweller,Broo Tarquin	mechanicalscrap*5,mechanicalcomponents*3,ruthenium*1	Power Draw|+5%|bad;Damage|+3%|good	ceb5c729-4565-4869-ade8-5ee897e8b410	special_weapon_damage	hel
experimental	Beam Laser	Regeneration Sequence		Mel Brandon,The Dweller,Broo Tarquin	refinedfocuscrystals*3,shieldingsensors*4,shieldfrequencydata*1	Target wing shields regenerated|✓|good;Damage|-10%|bad	3bece1bb-7c31-4735-8c18-54dc4a0057bc	special_regeneration_sequence	hel
experimental	Beam Laser	Stripped Down		Mel Brandon,The Dweller,Broo Tarquin	salvagedalloys*5,carbon*5,tin*1	Mass|-10%|good	dfc22aad-48b8-4f8d-af16-ec3b978fc8b6	special_weapon_lightweight	hel
experimental	Beam Laser	Thermal Conduit		Mel Brandon,The Dweller,Broo Tarquin	heatdispersionplate*5,sulphur*5,temperedalloys*5	Damage increases with heat level|✓|good	4e4e1f59-6762-47ff-b1fa-40ca43304698	special_thermal_conduit	hel
experimental	Beam Laser	Thermal Shock		Mel Brandon,The Dweller,Broo Tarquin	uncutfocuscrystals*5,heatresistantceramics*3,conductivecomponents*3,tungsten*3	Target heat increased|✓|good;Damage|-10%|bad	fe8b4daa-e65d-464c-811d-400d3632a3d6	special_thermalshock	hel
experimental	Beam Laser	Thermal Vent		Mel Brandon,The Dweller,Broo Tarquin	uncutfocuscrystals*5,conductivepolymers*3,precipitatedalloys*3	Heat reduced when striking a target|✓|good	70f11414-7904-405c-92db-806178ee9df4	special_thermal_vent	hel
experimental	Burst Laser	Concordant Sequence		Mel Brandon,The Dweller,Broo Tarquin	focuscrystals*5,embeddedfirmware*3,zirconium*1	Wing shield regeneration increased|✓|good;Thermal Load|+50%|bad		special_concordant_sequence	hul
experimental	Burst Laser	Double Braced		Mel Brandon,The Dweller,Broo Tarquin	mechanicalscrap*5,compactcomposites*5,vanadium*3	Integrity|+15%|good		special_weapon_toughened	hul
experimental	Burst Laser	Flow Control		Mel Brandon,The Dweller,Broo Tarquin	mechanicalscrap*5,hybridcapacitors*3,embeddedfirmware*1	Power Draw|-10%|good		special_weapon_efficient	hul
experimental	Burst Laser	Inertial Impact		Mel Brandon,The Dweller,Broo Tarquin	uncutfocuscrystals*5,shieldcyclerecordings*5,disruptedwakeechoes*5	Damage partially kinetic|✓|good;Damage|+50%|good;Jitter|3|bad	6eda22d3-8049-4bab-a125-762b12fa576a	special_distortion_field	hul
experimental	Burst Laser	Multi-Servos		Mel Brandon,The Dweller,Broo Tarquin	mechanicalscrap*5,focuscrystals*4,conductivepolymers*2,configurablecomponents*2	Power Draw|+5%|bad;Rate of Fire|+3%|good	fd62292f-f5ed-4728-bc8a-3ae215ced386	special_weapon_rateoffire	hul
experimental	Burst Laser	Oversized		Mel Brandon,The Dweller,Broo Tarquin	mechanicalscrap*5,mechanicalcomponents*3,ruthenium*1	Power Draw|+5%|bad;Damage|+3%|good		special_weapon_damage	hul
experimental	Burst Laser	Phasing Sequence		Mel Brandon,The Dweller,Broo Tarquin	focuscrystals*5,shieldpatternanalysis*3,niobium*3,configurablecomponents*3	Part of damage through shields|✓|good;Damage|-10%|bad	47254ea9-c88f-43e0-9166-d1796649917b	special_phasing_sequence	hul
experimental	Burst Laser	Scramble Spectrum		Mel Brandon,The Dweller,Broo Tarquin	crystalshards*5,shielddensityreports*3,scrambledemissiondata*5	Target modules malfunctions|✓|good;Rate of Fire|-10%|bad	4f42cb92-4440-4295-ada9-fcca788a65b8	special_scramble_spectrum	hul
experimental	Burst Laser	Stripped Down		Mel Brandon,The Dweller,Broo Tarquin	salvagedalloys*5,carbon*5,tin*1	Mass|-10%|good		special_weapon_lightweight	hul
experimental	Burst Laser	Thermal Shock		Mel Brandon,The Dweller,Broo Tarquin	uncutfocuscrystals*5,heatresistantceramics*3,conductivecomponents*3,tungsten*3	Target heat increased|✓|good;Damage|-10%|bad		special_thermalshock	hul
experimental	Cannon	Auto Loader		Marsha Hicks,Tod McQuinn,The Sarge	mechanicalequipment*4,mechanicalcomponents*3,highdensitycomposites*3	Auto reload while firing|✓|good		special_auto_loader	hc
experimental	Cannon	Dispersal Field		Marsha Hicks,Tod McQuinn,The Sarge	conductivecomponents*5,hybridcapacitors*5,archivedemissiondata*5,wornshieldemitters*5	Target gimbal/turret tracking reduced|✓|good	0e2dbd63-335d-4dca-8050-c7ca8ddc56b0	special_dispersal_field	hc
experimental	Cannon	Double Braced		Marsha Hicks,Tod McQuinn,The Sarge	mechanicalscrap*5,compactcomposites*5,vanadium*3	Integrity|+15%|good		special_weapon_toughened	hc
experimental	Cannon	Flow Control		Marsha Hicks,Tod McQuinn,The Sarge	mechanicalscrap*5,hybridcapacitors*3,embeddedfirmware*1	Power Draw|-10%|good		special_weapon_efficient	hc
experimental	Cannon	Force Shell		Marsha Hicks,Tod McQuinn,The Sarge	mechanicalscrap*5,zinc*5,phasealloys*3,heatconductionwiring*3	Target pushed off course|✓|good;Shot Speed|-17%|bad	62056851-d2f2-474d-ba77-66c030c900e9	special_force_shell	hc
experimental	Cannon	High Yield Shell		Marsha Hicks,Tod McQuinn,The Sarge	mechanicalscrap*5,protolightalloys*3,chemicalmanipulators*3,nickel*5	Damage partially explosive|✓|good;Rate of Fire|-10%|bad	a950b42c-204f-4775-a0c5-21bfcec1fd14	special_high_yield_shell	hc
experimental	Cannon	Multi-Servos		Marsha Hicks,Tod McQuinn,The Sarge	mechanicalscrap*5,focuscrystals*4,conductivepolymers*2,configurablecomponents*2	Power Draw|+5%|bad;Rate of Fire|+3%|good		special_weapon_rateoffire	hc
experimental	Cannon	Oversized		Marsha Hicks,Tod McQuinn,The Sarge	mechanicalscrap*5,mechanicalcomponents*3,ruthenium*1	Power Draw|+5%|bad;Damage|+3%|good		special_weapon_damage	hc
experimental	Cannon	Smart Rounds		Marsha Hicks,Tod McQuinn,The Sarge	mechanicalscrap*5,securityfirmware*3,decodedemissiondata*3,scandatabanks*3	No damage to untargeted ships|✓|good		special_smart_rounds	hc
experimental	Cannon	Stripped Down		Marsha Hicks,Tod McQuinn,The Sarge	salvagedalloys*5,carbon*5,tin*1	Mass|-10%|good		special_weapon_lightweight	hc
experimental	Cannon	Thermal Cascade		Marsha Hicks,Tod McQuinn,The Sarge	heatconductionwiring*5,hybridcapacitors*4,highdensitycomposites*3,phosphorus*5	Shielded target heat increased|✓|good	e5c8cab4-7a2f-450d-a937-2d0d8b9e3714	special_thermal_cascade	hc
experimental	Fragment Cannon	Corrosive Shell		Marsha Hicks,Tod McQuinn,Zacariah Nemo	chemicalstorageunits*5,precipitatedalloys*4,arsenic*3	Target armor hardness reduced|✓|good;Ammo Capacity|-20%|bad		special_corrosive_shell	hfc
experimental	Fragment Cannon	Dazzle Shell		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalscrap*5,manganese*4,hybridcapacitors*5	Target sensor acuity reduced|✓|good	0a1e29ee-2fc7-4cbd-bbda-e8803c3e03ac	special_blinding_shell	hfc
experimental	Fragment Cannon	Double Braced		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalscrap*5,compactcomposites*5,vanadium*3	Integrity|+15%|good		special_weapon_toughened	hfc
experimental	Fragment Cannon	Drag Munition		Marsha Hicks,Tod McQuinn,Zacariah Nemo	carbon*5,gridresistors*5,molybdenum*2	Target speed reduced|✓|good	ca4cd540-660a-4fba-b38d-179f72125819	special_drag_munitions	hfc
experimental	Fragment Cannon	Flow Control		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalscrap*5,hybridcapacitors*3,embeddedfirmware*1	Power Draw|-10%|good		special_weapon_efficient	hfc
experimental	Fragment Cannon	Incendiary Rounds		Marsha Hicks,Tod McQuinn,Zacariah Nemo	heatconductionwiring*5,phosphorus*5,sulphur*5,phasealloys*3	Damage partially thermal|✓|good;Rate of Fire|-5%|bad;Thermal Load|+200%|bad		special_incendiary_rounds	hfc
experimental	Fragment Cannon	Multi-Servos		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalscrap*5,focuscrystals*4,conductivepolymers*2,configurablecomponents*2	Power Draw|+5%|bad;Rate of Fire|+3%|good		special_weapon_rateoffire	hfc
experimental	Fragment Cannon	Oversized		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalscrap*5,mechanicalcomponents*3,ruthenium*1	Power Draw|+5%|bad;Damage|+3%|good		special_weapon_damage	hfc
experimental	Fragment Cannon	Screening Shell		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalscrap*5,shieldcyclerecordings*5,consumerfirmware*5,niobium*3	Effectiveness increase against munitions|✓|good;Reload Time|-50%|good	9cf533fc-ccb1-4c92-8b6b-dd700af2988a	special_screening_shell	hfc
experimental	Fragment Cannon	Stripped Down		Marsha Hicks,Tod McQuinn,Zacariah Nemo	salvagedalloys*5,carbon*5,tin*1	Mass|-10%|good		special_weapon_lightweight	hfc
experimental	Frame Shift Drive	Deep Charge		Mel Brandon,Felicity Farseer,Elvira Martuuk,Chloe Sedesi,Professor Palin,Colonel Bris Dekker	disruptedwakeechoes*5,galvanisingalloys*3,hyperspacetrajectories*1	Power Draw|+5%|bad;Maximum Fuel Per Jump|+10%|good	56f1e58d-2044-4a31-8b54-ad0f99dfd64e	special_fsd_fuelcapacity	cfsd,cfsdo
experimental	Frame Shift Drive	Double Braced		Mel Brandon,Felicity Farseer,Elvira Martuuk,Chloe Sedesi,Professor Palin,Colonel Bris Dekker	disruptedwakeechoes*5,galvanisingalloys*3,configurablecomponents*1	Integrity|+25%|good		special_fsd_toughened	cfsd,cfsdo
experimental	Frame Shift Drive	Mass Manager		Mel Brandon,Felicity Farseer,Elvira Martuuk,Chloe Sedesi,Professor Palin,Colonel Bris Dekker	disruptedwakeechoes*5,galvanisingalloys*3,hyperspacetrajectories*1	Integrity|-8%|bad;Optimal Mass|+4%|good	4d7d30c3-970b-4c6e-a507-89ac7e6441bd	special_fsd_heavy	cfsd,cfsdo
experimental	Frame Shift Drive	Stripped Down		Mel Brandon,Felicity Farseer,Elvira Martuuk,Chloe Sedesi,Professor Palin,Colonel Bris Dekker	disruptedwakeechoes*5,galvanisingalloys*3,protolightalloys*1	Mass|-10%|good		special_fsd_lightweight	cfsd,cfsdo
experimental	Frame Shift Drive	Thermal Spread		Mel Brandon,Felicity Farseer,Elvira Martuuk,Chloe Sedesi,Professor Palin,Colonel Bris Dekker	disruptedwakeechoes*5,galvanisingalloys*3,heatvanes*1,gridresistors*3	Thermal Load|-10%|good		special_fsd_cooled	cfsd,cfsdo
experimental	Hull Reinforcement Package	Angled Plating		Liz Ryder,Petra Olmanova,Selene Jean	temperedalloys*5,zirconium*3,carbon*5,highdensitycomposites*3	Hull Reinforcement|-5%|bad;Kinetic Resistance|+2%|good		special_hullreinforcement_kinetic	ihrp
experimental	Hull Reinforcement Package	Deep Plating		Liz Ryder,Petra Olmanova,Selene Jean	compactcomposites*5,molybdenum*3,ruthenium*2	Hull Reinforcement|+10%|good;Kinetic Resistance|-2%|bad;Thermal Resistance|-2%|bad;Explosive Resistance|-2%|bad		special_hullreinforcement_chunky	ihrp
experimental	Hull Reinforcement Package	Layered Plating		Liz Ryder,Petra Olmanova,Selene Jean	heatconductionwiring*5,shieldingsensors*3,tungsten*3	Hull Reinforcement|-5%|bad;Explosive Resistance|+2%|good		special_hullreinforcement_explosive	ihrp
experimental	Hull Reinforcement Package	Reflective Plating		Liz Ryder,Petra Olmanova,Selene Jean	heatconductionwiring*5,heatdispersionplate*3,protolightalloys*1,zinc*4	Hull Reinforcement|-5%|bad;Thermal Resistance|+2%|good		special_hullreinforcement_thermic	ihrp
experimental	Mine Launcher	Double Braced		Liz Ryder,Petra Olmanova,Juri Ishmaak	mechanicalscrap*5,compactcomposites*5,vanadium*3	Integrity|+15%|good		special_weapon_toughened	hm
experimental	Mine Launcher	Emissive Munitions		Liz Ryder,Petra Olmanova,Juri Ishmaak	mechanicalequipment*4,emissiondata*3,heatexchangers*3,manganese*3	Target signature increased|✓|good;Thermal Load|+100%|bad		special_emissive_munitions	hm
experimental	Mine Launcher	Flow Control		Liz Ryder,Petra Olmanova,Juri Ishmaak	mechanicalscrap*5,hybridcapacitors*3,embeddedfirmware*1	Power Draw|-10%|good		special_weapon_efficient	hm
experimental	Mine Launcher	Ion Disruptor		Liz Ryder,Petra Olmanova,Juri Ishmaak	sulphur*5,phosphorus*5,chemicaldistillery*3,electrochemicalarrays*3	Target thrusters reboot|✓|good	d84e40ca-afc1-4b01-9940-034152d288e7	special_ion_disruptor	hm
experimental	Mine Launcher	Overload Munitions		Liz Ryder,Petra Olmanova,Juri Ishmaak	filamentcomposites*5,encryptioncodes*4,shieldpatternanalysis*2,germanium*3	Damage partially thermal|✓|good		special_overload_munitions	hm
experimental	Mine Launcher	Oversized		Liz Ryder,Petra Olmanova,Juri Ishmaak	mechanicalscrap*5,mechanicalcomponents*3,ruthenium*1	Power Draw|+5%|bad;Damage|+3%|good		special_weapon_damage	hm
experimental	Mine Launcher	Radiant Canister		Liz Ryder,Petra Olmanova,Juri Ishmaak	polonium*1,phasealloys*3,heatdispersionplate*4	Area heat increased, sensors disrupted|✓|good	51f84837-e9a5-432c-a125-d4322099266c	special_radiant_canister	hm
experimental	Mine Launcher	Reverberating Cascade		Liz Ryder,Petra Olmanova,Juri Ishmaak	configurablecomponents*2,scandatabanks*3,filamentcomposites*4,chromium*4	Target shield generator damaged|✓|good		special_reverberating_cascade	hm
experimental	Mine Launcher	Shift-Lock Canister		Liz Ryder,Petra Olmanova,Juri Ishmaak	temperedalloys*5,wakesolutions*3,salvagedalloys*5	Area FSDs reboot|✓|good	1f7b0deb-e023-43e5-96f6-ebf60d683e8b	special_shiftlock_canister	hm
experimental	Mine Launcher	Stripped Down		Liz Ryder,Petra Olmanova,Juri Ishmaak	salvagedalloys*5,carbon*5,tin*1	Mass|-10%|good		special_weapon_lightweight	hm
experimental	Missile Rack	Double Braced		Liz Ryder,Petra Olmanova,Juri Ishmaak	mechanicalscrap*5,compactcomposites*5,vanadium*3	Integrity|+15%|good		special_weapon_toughened	hmr
experimental	Missile Rack	Drag Munition (Seeker only)		Liz Ryder,Petra Olmanova,Juri Ishmaak	carbon*5,gridresistors*5,molybdenum*2	Target speed reduced|✓|good		special_drag_munitions	hmr
experimental	Missile Rack	Emissive Munitions		Liz Ryder,Petra Olmanova,Juri Ishmaak	mechanicalequipment*4,emissiondata*3,heatexchangers*3,manganese*3	Target signature increased|✓|good;Thermal Load|+100%|bad		special_emissive_munitions	hmr
experimental	Missile Rack	FSD Interrupt (Dumbfire only)		Liz Ryder,Petra Olmanova,Juri Ishmaak	wakesolutions*3,fsdtelemetry*5,mechanicalequipment*5,configurablecomponents*3	Target FSD reboots|✓|good;Damage|-30%|bad;Rate of Fire|-50%|bad	c1400054-1c2b-487c-8854-7a22d96d4cd2	special_fsd_interrupt	hmr
experimental	Missile Rack	Flow Control		Liz Ryder,Petra Olmanova,Juri Ishmaak	mechanicalscrap*5,hybridcapacitors*3,embeddedfirmware*1	Power Draw|-10%|good		special_weapon_efficient	hmr
experimental	Missile Rack	Multi-Servos		Liz Ryder,Petra Olmanova,Juri Ishmaak	mechanicalscrap*5,focuscrystals*4,conductivepolymers*2,configurablecomponents*2	Power Draw|+5%|bad;Rate of Fire|+3%|good		special_weapon_rateoffire	hmr
experimental	Missile Rack	Overload Munitions		Liz Ryder,Petra Olmanova,Juri Ishmaak	filamentcomposites*5,encryptioncodes*4,shieldpatternanalysis*2,germanium*3	Damage partially thermal|✓|good	c157bbd1-a14d-4aa2-9081-94cbfbdee558	special_overload_munitions	hmr
experimental	Missile Rack	Oversized		Liz Ryder,Petra Olmanova,Juri Ishmaak	mechanicalscrap*5,mechanicalcomponents*3,ruthenium*1	Power Draw|+5%|bad;Damage|+3%|good		special_weapon_damage	hmr
experimental	Missile Rack	Penetrator Munitions (Dumbfire only)		Liz Ryder,Petra Olmanova,Juri Ishmaak	galvanisingalloys*5,electrochemicalarrays*3,zirconium*3	Target module damage|✓|good	35578402-1bc7-4d19-828b-af31ebd79866	special_penetrator_munitions	hmr
experimental	Missile Rack	Stripped Down		Liz Ryder,Petra Olmanova,Juri Ishmaak	salvagedalloys*5,carbon*5,tin*1	Mass|-10%|good		special_weapon_lightweight	hmr
experimental	Missile Rack	Thermal Cascade		Liz Ryder,Petra Olmanova,Juri Ishmaak	heatconductionwiring*5,hybridcapacitors*4,highdensitycomposites*3,phosphorus*5	Shielded target heat increased|✓|good		special_thermal_cascade	hmr
experimental	Multi-cannon	Auto Loader		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalequipment*4,mechanicalcomponents*3,highdensitycomposites*3	Auto reload while firing|✓|good	640d6dde-f497-42cd-8bc9-73ab3fa1b43a	special_auto_loader	hmc
experimental	Multi-cannon	Corrosive Shell		Marsha Hicks,Tod McQuinn,Zacariah Nemo	chemicalstorageunits*5,precipitatedalloys*4,arsenic*3	Target armor hardness reduced|✓|good;Ammo Capacity|-20%|bad	a6faa870-ff89-4e48-b607-424e065cbd43	special_corrosive_shell	hmc
experimental	Multi-cannon	Double Braced		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalscrap*5,compactcomposites*5,vanadium*3	Integrity|+15%|good		special_weapon_toughened	hmc
experimental	Multi-cannon	Emissive Munitions		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalequipment*4,emissiondata*3,heatexchangers*3,manganese*3	Target signature increased|✓|good;Thermal Load|+100%|bad		special_emissive_munitions	hmc
experimental	Multi-cannon	Flow Control		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalscrap*5,hybridcapacitors*3,embeddedfirmware*1	Power Draw|-10%|good		special_weapon_efficient	hmc
experimental	Multi-cannon	Incendiary Rounds		Marsha Hicks,Tod McQuinn,Zacariah Nemo	heatconductionwiring*5,phosphorus*5,sulphur*5,phasealloys*3	Damage partially thermal|✓|good;Rate of Fire|-5%|bad;Thermal Load|+200%|bad	3526773e-a814-4bec-afbf-30db79a3e239	special_incendiary_rounds	hmc
experimental	Multi-cannon	Multi-Servos		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalscrap*5,focuscrystals*4,conductivepolymers*2,configurablecomponents*2	Power Draw|+5%|bad;Rate of Fire|+3%|good		special_weapon_rateoffire	hmc
experimental	Multi-cannon	Oversized		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalscrap*5,mechanicalcomponents*3,ruthenium*1	Power Draw|+5%|bad;Damage|+3%|good		special_weapon_damage	hmc
experimental	Multi-cannon	Smart Rounds		Marsha Hicks,Tod McQuinn,Zacariah Nemo	mechanicalscrap*5,securityfirmware*3,decodedemissiondata*3,scandatabanks*3	No damage to untargeted ships|✓|good	2a3d8519-27af-44f2-a50b-33095964d1cc	special_smart_rounds	hmc
experimental	Multi-cannon	Stripped Down		Marsha Hicks,Tod McQuinn,Zacariah Nemo	salvagedalloys*5,carbon*5,tin*1	Mass|-10%|good		special_weapon_lightweight	hmc
experimental	Multi-cannon	Thermal Shock		Marsha Hicks,Tod McQuinn,Zacariah Nemo	uncutfocuscrystals*5,heatresistantceramics*3,conductivecomponents*3,tungsten*3	Target heat increased|✓|good;Damage|-10%|bad		special_thermalshock	hmc
experimental	Plasma Accelerator	Dazzle Shell		Etienne Dorn,Zacariah Nemo,Bill Turner	mechanicalscrap*5,manganese*4,hybridcapacitors*5,mechanicalcomponents*5	Target sensor acuity reduced|✓|good		special_blinding_shell	hpa
experimental	Plasma Accelerator	Dispersal Field		Etienne Dorn,Zacariah Nemo,Bill Turner	conductivecomponents*5,hybridcapacitors*5,archivedemissiondata*5,wornshieldemitters*5	Target gimbal/turret tracking reduced|✓|good		special_dispersal_field	hpa
experimental	Plasma Accelerator	Double Braced		Etienne Dorn,Zacariah Nemo,Bill Turner	mechanicalscrap*5,compactcomposites*5,vanadium*3	Integrity|+15%|good		special_weapon_toughened	hpa
experimental	Plasma Accelerator	Flow Control		Etienne Dorn,Zacariah Nemo,Bill Turner	mechanicalscrap*5,hybridcapacitors*3,embeddedfirmware*1	Power Draw|-10%|good		special_weapon_efficient	hpa
experimental	Plasma Accelerator	Multi-Servos		Etienne Dorn,Zacariah Nemo,Bill Turner	mechanicalscrap*5,focuscrystals*4,conductivepolymers*2,configurablecomponents*2	Power Draw|+5%|bad;Rate of Fire|+3%|good		special_weapon_rateoffire	hpa
experimental	Plasma Accelerator	Oversized		Etienne Dorn,Zacariah Nemo,Bill Turner	mechanicalscrap*5,mechanicalcomponents*3,ruthenium*1	Power Draw|+5%|bad;Damage|+3%|good		special_weapon_damage	hpa
experimental	Plasma Accelerator	Phasing Sequence		Etienne Dorn,Zacariah Nemo,Bill Turner	focuscrystals*5,shieldpatternanalysis*3,niobium*3,configurablecomponents*3	Part of damage through shields|✓|good;Damage|-10%|bad		special_phasing_sequence	hpa
experimental	Plasma Accelerator	Plasma Slug		Etienne Dorn,Zacariah Nemo,Bill Turner	heatexchangers*3,embeddedfirmware*2,refinedfocuscrystals*2,mercury*4	Reload from ship fuel|✓|good;Damage|-10%|bad;Ammo Capacity|-100%|bad	58a7b1b6-57b9-40f2-9a5a-712a5388a5eb	special_plasma_slug	hpa
experimental	Plasma Accelerator	Stripped Down		Etienne Dorn,Zacariah Nemo,Bill Turner	salvagedalloys*5,carbon*5,tin*1	Mass|-10%|good		special_weapon_lightweight	hpa
experimental	Plasma Accelerator	Target Lock Breaker		Etienne Dorn,Zacariah Nemo,Bill Turner	selenium*5,securityfirmware*3,adaptiveencryptors*1	Target loses target lock|✓|good	4cf42ed8-574f-4bb8-a1f2-ee154475b463	special_lock_breaker	hpa
experimental	Plasma Accelerator	Thermal Conduit		Etienne Dorn,Zacariah Nemo,Bill Turner	heatdispersionplate*5,sulphur*5,temperedalloys*5	Damage increases with heat level|✓|good		special_thermal_conduit	hpa
experimental	Power Distributor	Cluster Capacitor		Etienne Dorn,The Dweller,Marco Qwent,Hera Tani	phosphorus*5,heatresistantceramics*3,cadmium*1	Weapons Capacity|+8%|good;Weapons Recharge|-2%|bad;Engines Capacity|+8%|good;Engines Recharge|-2%|bad;Systems Capacity|+8%|good;Systems Recharge|-2%|bad	c4231886-f988-4a31-a749-2a58550f9e44	special_powerdistributor_capacity	cpd
experimental	Power Distributor	Double Braced		Etienne Dorn,The Dweller,Marco Qwent,Hera Tani	phosphorus*5,heatresistantceramics*3,fedproprietarycomposites*1	Integrity|+15%|good		special_powerdistributor_toughened	cpd
experimental	Power Distributor	Flow Control		Etienne Dorn,The Dweller,Marco Qwent,Hera Tani	phosphorus*5,heatresistantceramics*3,conductivepolymers*1	Power Draw|-10%|good		special_powerdistributor_efficient	cpd
experimental	Power Distributor	Stripped Down		Etienne Dorn,The Dweller,Marco Qwent,Hera Tani	phosphorus*5,heatresistantceramics*3,protolightalloys*1	Mass|-10%|good		special_powerdistributor_lightweight	cpd
experimental	Power Distributor	Super Conduits		Etienne Dorn,The Dweller,Marco Qwent,Hera Tani	phosphorus*5,heatresistantceramics*3,securityfirmware*1	Weapons Capacity|-4%|bad;Weapons Recharge|+4%|good;Engines Capacity|-4%|bad;Engines Recharge|+4%|good;Systems Capacity|-4%|bad;Systems Recharge|+4%|good	b5bb35a1-e851-4d37-8f26-8fe828f84c95	special_powerdistributor_fast	cpd
