# Generated by tools/gen-onfoot.py. Do not edit by hand — rerun the tool.
# Suit, hand weapon and hand tool identity from EDDiscovery/EliteDangerousCore
# Items/Suits.cs and Items/HandItems.cs (Apache-2.0), keyed on the symbol the journal
# writes. No stat is taken from there: its per-figure provenance varies, one row is
# annotated as a guess, and SuitStats assigns health multipliers to the shield fields.
# Prices are grade 1 and were read off BuySuit/BuyWeapon in a journal corpus; blank
# means not measured rather than free. The suitmod/weaponmod rows are a spelling
# reconciliation, not game data: nothing published carries both the journal's symbol
# and the recipe's name. seen=corpus means observed in a real journal (13 of
# 25); seen=derived means it follows the convention and has not been.
# A modification's detail is what it does, from jixxed/ed-odyssey-materials-helper
# description.csv (MIT), with the overrides named in the generator.
# Game data is Frontier's, used under their media usage rules; see NOTICE.
# Rows: 57 (suits 16, weapons 11, tools 5, modifications 25). Built: 2026-09-24.
kind	symbol	name	grade	detail	price	seen
suitmod	suit_nightvision	Night vision		Adds Night Vision capabilities to the suit		corpus
suitmod	suit_quieterfootsteps	Quieter footsteps		Dampens the sound generated by suit steps		corpus
suitmod	suit_reducedtoolbatteryconsumption	Reduced tool battery consumption		Reduces the energy consumption of certain suit tool functions		derived
tool	humanoid_companalyser	Profile Analyser		utility		
tool	humanoid_fists	Fists		fists		
tool	humanoid_rechargetool	Recharger		utility		
tool	humanoid_repairtool	Arc Cutter		utility		
tool	humanoid_sampletool	Genetic Sampler		utility		
weapon	wpn_m_assaultrifle_kinetic_fauto	Karma AR-50		kinetic longrangerifle, primary	125000	
weapon	wpn_m_assaultrifle_laser_fauto	TK Aphelion		thermal rifle, primary	125000	
weapon	wpn_m_assaultrifle_plasma_fauto	Manticore Oppressor		plasma rifle, primary		
weapon	wpn_m_launcher_rocket_sauto	Karma L-6		explosive launcher, primary	175000	
weapon	wpn_m_shotgun_plasma_doublebarrel	Manticore Intimidator		plasma shotgun, primary		
weapon	wpn_m_sniper_plasma_charged	Manticore Executioner		plasma longrangerifle, primary	175000	
weapon	wpn_m_submachinegun_kinetic_fauto	Karma C-44		kinetic carbine, primary		
weapon	wpn_m_submachinegun_laser_fauto	TK Eclipse		thermal carbine, primary		
weapon	wpn_s_pistol_kinetic_sauto	Karma P-15		kinetic pistol, sidearm		
weapon	wpn_s_pistol_laser_sauto	TK Zenith		thermal pistol, sidearm		
weapon	wpn_s_pistol_plasma_charged	Manticore Tormentor		plasma pistol, sidearm	50000	
weaponmod	weapon_accuracy	Improved Hip Fire Accuracy		Reduces weapon sway, improving accuracy		derived
weaponmod	weapon_audiomasking	Audio Masking		Reduces the weapon’s simulated sound when fired in unpressurised environments		derived
weaponmod	weapon_backpackreloading	Stowed reloading		Automatically reloads a stowed weapon after 5 seconds		corpus
weaponmod	weapon_clipsize	Magazine size		Extends the weapon’s magazine size		corpus
weaponmod	weapon_handling	Faster handling		Reduces the weapon’s draw/stow time and improves ADS functionality		corpus
weaponmod	weapon_headshotdamage	Headshot damage		Increases damage inflicted by headshots		derived
weaponmod	weapon_range	Greater range		Improves the weapon’s effective range		derived
weaponmod	weapon_reloadspeed	Reload speed		Shortens the weapon’s reload time		derived
weaponmod	weapon_scope	Scope		Adds a scope to the weapon (or improves an existing one)		derived
weaponmod	weapon_stability	Stability		Reduces the weapon’s recoil		corpus
weaponmod	weapon_suppression_unpressurised	Noise suppressor		Reduces the sound of the weapon when fired in pressurised environments		corpus
